
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          1.950e-19              0.951
     200|               8.683          6.763e-19              0.409
     300|               0.022          0.000e+00              1.000
     301|               0.090          0.000e+00              1.000
     302|               0.028          0.000e+00              1.000
     303|              11.291          2.095e-18              0.483
     400|               0.141          0.000e+00              1.000
     401|               0.390          0.000e+00              1.000
     402|               0.098          0.000e+00              1.000
     403|               0.049          0.000e+00              1.000
     404|               0.098          0.000e+00              1.000
     405|              28.808          2.374e-18              0.359
     500|               0.086          0.000e+00              1.000
     501|               0.024          0.000e+00              1.000
     600|               0.023          0.000e+00              1.000
     700|              10.364          2.080e-18              0.686
     800|               0.025          0.000e+00              1.000
     801|               0.031          0.000e+00              1.000
     802|               0.052          0.000e+00              1.000
     803|               0.130          0.000e+00              1.000
     804|               0.026          0.000e+00              1.000
     805|               0.052          0.000e+00              1.000
     806|               0.052          0.000e+00              1.000
     807|               0.053          0.000e+00              1.000
     808|               2.777          1.843e-19              1.000
     900|               1.504          0.000e+00              1.000
     910|               6.944          2.298e-19              0.785
    1000|             193.197          1.962e-18              0.111
    1010|             444.035          2.048e-18              0.078
    1100|              32.463          4.393e-18              0.266
    1110|             167.269          3.728e-18              0.090
    1200|             108.832          1.853e-18              0.142
    1210|             389.741          1.927e-18              0.090
    1300|             159.196          4.849e-18              0.119
    1400|             145.689          3.498e-18              0.138
    1500|              34.244          2.426e-18              0.220
    1600|             106.720          5.325e-18              0.130
    1700|              50.890          2.638e-18              0.252
    1800|              37.397          3.112e-18              0.211
    1900|             273.409          7.018e-18              0.073
    2000|             154.981          3.972e-18              0.106
    2100|              22.996          2.806e-18              0.263
    2200|             181.529          6.108e-18              0.089
    2300|             118.927          4.962e-18              0.108
    2400|              48.252          1.037e-18              0.394
    2500|              45.057          9.535e-19              0.442
    2600|             568.469          3.694e-18              0.073
    2700|             382.073          2.332e-18              0.096
    2800|             253.548          5.480e-18              0.084
    2900|             413.232          3.399e-18              0.075
    3000|              26.045          2.853e-18              0.254
    3100|             307.761          4.803e-18              0.086
    3200|             373.652          2.994e-18              0.093
    3300|              82.179          2.515e-18              0.187
    3400|             536.651          3.654e-18              0.074
    3500|             621.408          2.207e-18              0.077
    3600|              79.815          2.119e-18              0.175
    3700|             234.882          3.837e-18              0.111
    3800|             432.615          2.302e-18              0.090
    3900|              76.877          4.915e-18              0.176
    4000|              56.287          3.474e-18              0.251
    4100|             402.595          4.571e-18              0.071
    4200|             619.672          2.831e-18              0.070
    4300|             368.797          3.670e-18              0.081
    4400|             457.351          2.240e-18              0.078
    4500|             223.333          2.133e-18              0.142
    4600|             156.670          1.384e-18              0.173
    4700|             103.943          2.181e-18              0.210
    4800|              78.915          4.701e-19              0.307
    4900|             289.440          2.276e-18              0.124
    5000|             345.222          1.029e-18              0.142
    5100|             188.047          3.527e-18              0.119
    5200|             291.584          1.959e-18              0.114
    5300|             110.320          4.130e-18              0.145
    5400|             192.224          1.229e-18              0.150
    5500|               9.991          5.711e-18              0.414
    5600|              61.420          1.119e-18              0.275
    5700|              56.331          2.439e-18              0.196
    5800|              82.063          1.326e-18              0.218
    6100|            1517.390          2.022e-18              0.059
    6200|               7.769          4.426e-20              1.000
    6300|               5.180          0.000e+00              1.000
    6400|               7.769          4.629e-18              0.577
    6500|               5.180          5.119e-18              0.402
    6600|               0.039          0.000e+00              1.000
    6601|               0.189          0.000e+00              1.000
    6700|               1.113          0.000e+00              1.000
    6701|               0.308          0.000e+00              1.000
    6702|               6.122          7.405e-19              0.710
    6800|               0.039          0.000e+00              1.000
    6801|               0.189          1.593e-17              1.000
    6900|               1.113          1.346e-17              0.518
    6901|               0.308          1.531e-17              1.000
    6902|               6.122          3.034e-18              0.516
    7000|              10.364          3.346e-18              0.354
    7100|              58.000          3.907e-18              0.166
    7200|               1.784          0.000e+00              1.000
    7201|               1.193          4.331e-18              0.728
    7202|               6.008          2.225e-18              0.628
    7203|             185.286          1.127e-18              0.157
    7300|             250.000          8.742e-19              0.175
    7400|              14.547          2.903e-18              0.315
    7401|               2.264          1.514e-18              0.813
    7402|               5.692          4.062e-20              1.000
    7403|             840.096          1.830e-18              0.064
    7500|              53.337          1.703e-18              0.278
    7501|             296.663          1.588e-18              0.098
    7600|               3.071          3.177e-18              0.677
    7601|               0.223          0.000e+00              1.000
    7602|             116.634          5.642e-18              0.092
    7700|              55.000          5.463e-18              0.155
    7800|               3.993          2.614e-18              0.486
    7801|               0.289          5.882e-18              0.708
    7802|              75.671          3.967e-18              0.143
    7900|              95.000          4.518e-18              0.127
    8000|               2.824          4.528e-18              0.999
    8001|               0.205          0.000e+00              1.000
    8002|              76.924          1.143e-18              0.266
    8100|              40.000          4.931e-19              0.393
    8200|               2.779          0.000e+00              1.000
    8201|               0.203          0.000e+00              1.000
    8202|             116.946          7.404e-19              0.282
    8300|              35.000          5.136e-19              0.493
    8400|               4.451          2.714e-18              0.599
    8401|               0.324          0.000e+00              1.000
    8402|              48.524          5.438e-19              0.374
    8500|              75.000          8.854e-19              0.369
    8600|              39.976          2.154e-18              0.371
    8700|             385.839          1.164e-18              0.115
    8800|             510.000          1.172e-18              0.121
    8900|             162.338          4.570e-19              0.268
    9000|              38.359          1.221e-18              0.342
    9100|               7.652          8.302e-19              0.530
    9200|             166.542          3.049e-18              0.107
    9300|              39.362          3.954e-18              0.210
    9400|               7.892          3.753e-18              0.343
    9500|            2360.000          3.436e-18              0.034
    9700|             545.877          5.426e-19              0.151
    9900|             652.861          2.432e-18              0.066
   10000|              15.949          2.358e-18              0.328
   10100|              15.949          1.702e-18              0.379
   10200|               5.510          7.300e-19              0.710
   10300|             130.204          1.395e-18              0.187
   10400|              11.019          1.968e-18              0.449
   10500|              11.019          1.290e-18              0.479
   10600|            1200.828          1.557e-18              0.065
   10700|           14844.730          2.033e-18              0.017
   10800|            2843.507          3.330e-18              0.027
   10900|           10887.729          2.281e-18              0.020
   11000|               1.919          4.023e-18              0.713
   11001|               0.103          0.000e+00              1.000
   11002|              49.783          1.073e-18              0.423
   11003|              22.870          3.471e-19              0.499
   11300|             173.631          2.420e-18              0.124
   11400|               0.622          0.000e+00              1.000
   11500|              17.618          2.068e-18              0.392
   11600|             975.622          1.778e-18              0.065
   11700|           11176.900          1.918e-18              0.018
   11800|            1549.842          3.680e-18              0.031
   11900|            4510.134          2.386e-18              0.024
   12000|              44.045          7.963e-19              0.308
   12100|              44.045          4.023e-18              0.163
   12200|             259.230          2.109e-18              0.097
   12201|               8.470          1.929e-18              0.384
   12300|            1271.006          2.908e-18              0.039
   12301|              38.418          4.476e-18              0.113
   12400|             575.709          5.421e-18              0.038
   12401|              18.843          6.823e-18              0.129
   12500|            1259.982          3.173e-18              0.042
   12501|              37.790          4.027e-18              0.119
   12600|              37.952          1.028e-18              0.340
